programmer_id,field_name
P1,Front_End
P2,ServerMange
P3,ServerMange
P4,DBManege
P5,Back_End
P6,ServerMange
P7,Back_End
P8,DBManege
P9,Back_End
P10,DBManege
P11,Full_Stack
P12,Front_End
P13,ServerMange
P14,Back_End
P15,DBManege
P16,ServerMange
P17,Full_Stack
P18,ServerMange
P19,Back_End
P20,DBManege
P21,Back_End
P22,Full_Stack
P23,Back_End
P24,DBManege
P25,Front_End
P26,ServerMange
P27,Front_End
P28,ServerMange
P29,DBManege
P30,DBManege
P31,Full_Stack
P32,ServerMange
P33,ServerMange
P34,Back_End
P35,DBManege
P36,Full_Stack
P37,Back_End
P38,Front_End
P39,Full_Stack
P40,DBManege
P41,DBManege
P42,DBManege
P43,DBManege
P44,Front_End
P45,Full_Stack
P46,Full_Stack
P47,DBManege
P48,Full_Stack
P49,ServerMange
P50,Front_End
P51,Full_Stack
P52,DBManege
P53,Full_Stack
P54,DBManege
P55,Back_End
P56,Front_End
P57,ServerMange
P58,Back_End
P59,Front_End
P60,DBManege
P61,Back_End
P62,ServerMange
P63,Full_Stack
P64,DBManege
P65,ServerMange
P66,ServerMange
P67,Front_End
P68,Back_End
P69,Full_Stack
P70,Full_Stack
P71,Back_End
P72,Front_End
P73,ServerMange
P74,DBManege
P75,Full_Stack
P76,Back_End
P77,DBManege
P78,Full_Stack
P79,Back_End
P80,ServerMange
P81,ServerMange
P82,Back_End
P83,Full_Stack
P84,Front_End
P85,Full_Stack
P86,Full_Stack
P87,ServerMange
P88,Front_End
P89,Front_End
P90,ServerMange
P91,DBManege
P92,ServerMange
P93,Back_End
P94,Back_End
P95,Front_End
P96,DBManege
P97,Full_Stack
P98,Full_Stack
P99,ServerMange
P100,DBManege
P101,ServerMange
P102,Back_End
P103,DBManege
P104,Full_Stack
P105,Full_Stack
P106,DBManege
P107,Full_Stack
P108,Back_End
P109,DBManege
P110,Front_End
P111,Front_End
P112,Back_End
P113,DBManege
P114,DBManege
P115,Full_Stack
P116,Back_End
P117,ServerMange
P118,Back_End
P119,DBManege
P120,DBManege
P121,Back_End
P122,Back_End
P123,Front_End
P124,Full_Stack
P125,DBManege
P126,Back_End
P127,ServerMange
P128,DBManege
P129,ServerMange
P130,ServerMange
P131,DBManege
P132,ServerMange
P133,Front_End
P134,Back_End
P135,ServerMange
P136,Back_End
P137,Back_End
P138,ServerMange
